hour,day,month,pm25,pm10,co,no2,so2,o3,nh3,aqi_change_rate
16,9,6,3.98,15.97,71.61,0.06,0.19,36.3,0.0,-0.3800000000000025
9,31,7,30.13,136.43,72.45,0.06,0.56,46.57,0.0,0.4000000000000057
0,23,6,34.45,150.47,78.58,0.09,0.51,50.66,0.0,0.6099999999999994
19,6,6,16.3,88.07,80.91,0.05,0.19,52.99,0.0,2.25
0,16,7,29.66,131.37,77.61,0.1,0.46,42.13,0.0,0.0
9,12,7,18.16,74.97,72.5,0.05,0.33,37.98,0.0,-0.9299999999999996
7,2,8,16.31,59.92,72.7,0.04,0.32,47.9,0.0,-1.3699999999999974
13,20,7,22.31,100.46,74.68,0.08,0.39,44.75,0.0,-0.8599999999999994
17,29,6,10.77,20.8,83.19,0.1,0.23,69.66,0.0,-1.8299999999999983
11,29,7,28.48,141.07,74.45,0.05,0.59,46.59,0.0,2.4399999999999977
3,20,7,16.05,66.49,81.31,0.11,0.36,40.0,0.0,-0.3999999999999986
6,9,6,4.24,17.52,72.05,0.03,0.19,40.72,0.0,-0.4499999999999993
5,8,7,38.65,154.57,77.51,0.08,0.52,53.29,0.0,-1.8399999999999888
14,24,7,20.87,87.14,77.72,0.08,0.4,45.83,0.0,-2.549999999999997
17,6,7,33.27,156.47,71.81,0.12,0.62,47.98,0.0,3.739999999999995
16,20,7,21.48,95.34,74.96,0.1,0.39,46.59,0.0,-0.0600000000000022
22,6,7,41.21,221.04,71.69,0.12,0.63,52.51,0.0,-2.6299999999999955
10,1,6,42.1,136.16,85.04,0.04,0.44,54.26,0.0,-1.480000000000004
2,7,6,21.63,112.64,82.25,0.05,0.2,56.95,0.0,-0.1299999999999954
6,25,7,25.87,109.67,73.82,0.06,0.42,46.76,0.0,-0.2700000000000102
16,12,6,8.58,38.06,74.05,0.07,0.37,38.61,0.0,0.1199999999999974
8,13,6,15.08,66.29,76.2,0.05,0.45,42.34,0.0,0.7600000000000051
15,26,6,40.76,168.64,85.75,0.12,0.36,56.64,0.0,-2.489999999999995
1,13,6,11.77,52.96,74.28,0.08,0.42,41.22,0.0,2.039999999999999
6,22,6,29.77,141.45,79.25,0.08,0.46,55.6,0.0,0.3199999999999932
13,14,7,24.82,112.06,74.96,0.07,0.46,40.79,0.0,-1.9099999999999968
9,14,7,27.5,116.49,78.22,0.05,0.38,43.59,0.0,-0.4599999999999937
